DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0803-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Sumedang Regency (Java Island); Ketapang Regency (Kalimantan),,Storm,No,No,No,,,Km2,,,,2023,11,24,2023,11,27,,,17750,,17750,,,,,,,100,,2023-11-27,2023-12-01
2023-0804-BGR,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',BGR,Bulgaria,Eastern Europe,Europe,Northeastern,,,No,No,Yes,,,Kph,,,,2023,11,25,2023,11,27,2,36,,,36,,,,,,,100,,2023-11-27,2023-12-01
2023-0804-DEU,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',DEU,Germany,Western Europe,Europe,"Schwabisch Hall (Bade Wurtemberg); Denzeheide (Rhénanie-Palatinat); Hessen, Saxony-Anhalt and Brandenburg, Bavaria, Thuringia and Saxony-Anhalt States, Berlin",,Snow/ice|Transport accident,No,No,No,,,Kph,,,,2023,11,27,2023,11,28,2,,,,,,,,,,,100,,2023-11-28,2023-12-01
2023-0804-MDA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',MDA,Republic of Moldova,Eastern Europe,Europe,"Coscalia, Cruglic, Grigoriopol",,,No,No,No,,,Kph,,,,2023,11,26,2023,11,28,4,10,,,10,,,,,,,100,,2023-11-28,2023-12-01
2023-0804-ROU,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',ROU,Romania,Eastern Europe,Europe,"Constanta, Tulcea, Galati, and Braila ",,,No,No,No,,,Kph,,,,2023,11,25,2023,11,27,,,,,,,,,,,,100,,2023-11-27,2023-12-01
2023-0804-RUS,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',RUS,Russian Federation,Eastern Europe,Europe,Crimée; Krasnodar,,Surge,No,No,Yes,,86,Kph,,,,2023,11,26,2023,11,27,2,,,,,,,,,,,100,,2023-11-27,2023-12-01
2023-0804-TUR,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',TUR,Türkiye,Western Asia,Asia,,,,No,No,No,,,Kph,,,,2023,11,26,2023,11,27,2,,,,,,,,,,,100,,2023-12-01,2023-12-01
2023-0804-UKR,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Bettina',UKR,Ukraine,Eastern Europe,Europe,"Odessa, Mykolaïv, Kharkiv, Kiev, Donetsk, Lougansk, Zaporijjia, Kherson, Cherkasy, Kirovograd and Capital Kyiv area",,,No,No,No,,,Kph,,,,2023,11,26,2023,11,27,12,23,,,23,,,,,,,100,,2023-11-27,2023-12-01
2023-0807-TZA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000241,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Dar Es Salaam, Kigoma, Kagera, Geita, Unguja, Arusha,Pwani",Heavy rains,,No,No,No,,,Km2,,,,2023,10,15,2023,11,23,38,,2896500,,2896500,,,,,,,100,,2023-11-28,2024-01-18
2023-0809-BDI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BDI,Burundi,Sub-Saharan Africa,Africa,"Buganda, Murwi and Rugombo (Cibitoke)",Intense rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,10,26,2023,10,27,7,,9312,,9312,,,,,,,100,,2023-11-28,2024-02-13
